"i.vec","sp.query","q.rank","ncbi.ids","class","cohort","family","genus","infraclass","infraorder","kingdom","order","parvorder","phylum","species","species group","subclass","subfamily","subgenus","subkingdom","suborder","subphylum","subtribe","superclass","superfamily","superkingdom","superorder","tribe"
2039,"Merluccius productus","species","89952","Actinopteri",NA,"Merlucciidae","Merluccius","Teleostei",NA,"Metazoa","Gadiformes",NA,"Chordata","Merluccius productus",NA,"Neopterygii",NA,NA,NA,"Gadoidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota",NA,NA
2040,"Mesechinus dauuricus","species","111452","Mammalia",NA,"Erinaceidae","Mesechinus",NA,NA,"Metazoa","Insectivora",NA,"Chordata","Mesechinus dauuricus",NA,NA,"Erinaceinae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Laurasiatheria",NA
2041,"Mesenchytraeus sp.","genus","223747","Clitellata",NA,"Enchytraeidae","Mesenchytraeus",NA,NA,"Metazoa","Haplotaxida",NA,"Annelida",NA,NA,"Oligochaeta",NA,NA,NA,"Tubificina",NA,NA,NA,NA,"Eukaryota",NA,NA
2042,"Mesochra sp.","genus","512231","Maxillopoda",NA,"Canthocamptidae","Mesochra","Neocopepoda",NA,"Metazoa","Harpacticoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
2043,"Mesocricetus auratus","species","10036","Mammalia",NA,"Cricetidae","Mesocricetus",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Mesocricetus auratus",NA,NA,"Cricetinae",NA,NA,"Myomorpha","Craniata",NA,NA,NA,"Eukaryota","Euarchontoglires",NA
2044,"Mesocyclops araucanus","genus","245081","Maxillopoda",NA,"Cyclopidae","Mesocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
2045,"Mesocyclops aspericornis","species","676260","Maxillopoda",NA,"Cyclopidae","Mesocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Mesocyclops aspericornis",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
2046,"Mesocyclops crassus","genus","245081","Maxillopoda",NA,"Cyclopidae","Mesocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
2047,"Mesocyclops edax","species","245082","Maxillopoda",NA,"Cyclopidae","Mesocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Mesocyclops edax",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
2048,"Mesocyclops hyalinus","genus","245081","Maxillopoda",NA,"Cyclopidae","Mesocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
2049,"Mesocyclops leuckarti","species","669471","Maxillopoda",NA,"Cyclopidae","Mesocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda","Mesocyclops leuckarti",NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
2050,"Mesocyclops leuckartii","genus","245081","Maxillopoda",NA,"Cyclopidae","Mesocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
2051,"Mesocyclops obsolatus","genus","245081","Maxillopoda",NA,"Cyclopidae","Mesocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
2052,"Mesocyclops oithonoides","genus","245081","Maxillopoda",NA,"Cyclopidae","Mesocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
2053,"Mesocyclops sp.","genus","245081","Maxillopoda",NA,"Cyclopidae","Mesocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
2054,"Mesocyclops tenuis","genus","245081","Maxillopoda",NA,"Cyclopidae","Mesocyclops","Neocopepoda",NA,"Metazoa","Cyclopoida",NA,"Arthropoda",NA,NA,"Copepoda",NA,NA,NA,NA,"Crustacea",NA,NA,NA,"Eukaryota","Podoplea",NA
2055,"Mesodesma donacium","species","282296","Bivalvia",NA,"Mesodesmatidae","Mesodesma","Euheterodonta",NA,"Metazoa","Veneroida",NA,"Mollusca","Mesodesma donacium",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mactroidea","Eukaryota",NA,NA
2056,"Mesodon perigraptus","genus","56130","Gastropoda",NA,"Polygyridae","Mesodon",NA,NA,"Metazoa","Stylommatophora",NA,"Mollusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polygyroidea","Eukaryota",NA,NA
2057,"Mesodon thyroides","species","318213","Gastropoda",NA,"Polygyridae","Mesodon",NA,NA,"Metazoa","Stylommatophora",NA,"Mollusca","Mesodon thyroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polygyroidea","Eukaryota",NA,NA
2058,"Mesodon thyroidus","species","1290269","Gastropoda",NA,"Polygyridae","Mesodon",NA,NA,"Metazoa","Stylommatophora",NA,"Mollusca","Mesodon thyroidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polygyroidea","Eukaryota",NA,NA
2060,"Mesoplodon bowdoini","species","74393","Mammalia",NA,"Ziphiidae","Mesoplodon",NA,NA,"Metazoa","Cetacea",NA,"Chordata","Mesoplodon bowdoini",NA,NA,NA,NA,NA,"Odontoceti","Craniata",NA,NA,NA,"Eukaryota","Laurasiatheria",NA
2061,"Mesoplodon densirostris","species","48708","Mammalia",NA,"Ziphiidae","Mesoplodon",NA,NA,"Metazoa","Cetacea",NA,"Chordata","Mesoplodon densirostris",NA,NA,NA,NA,NA,"Odontoceti","Craniata",NA,NA,NA,"Eukaryota","Laurasiatheria",NA
